image,Prediction v. GT Intersection over Union,false positive,true positive,false negative,precision,recall,accuracy,f1 score,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality
image_100_crop.tif,0.8512617816965643,5,27,1,0.84375,0.9642857142857143,0.8181818181818182,0.9,28,32,0.8918069430759975,0.92483682985659,0.832353146870931
image_101_crop.tif,0.8609276921822776,7,23,0,0.7666666666666667,1.0,0.7666666666666667,0.8679245283018868,23,30,0.9349209329356318,0.9349209329356318,0.8114408097177181
image_102_crop.tif,0.8717147121200219,3,14,1,0.8235294117647058,0.9333333333333333,0.7777777777777778,0.875,15,17,0.8809734980265299,0.9439001764569964,0.8259126543998718
image_103_crop.tif,0.8757227180241343,1,10,1,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.9090909090909091,11,11,0.8744957663796165,0.9619453430175782,0.8744957663796165
image_104_crop.tif,0.9419336784664895,0,7,0,1.0,1.0,1.0,1.0,7,7,0.9367062704903739,0.9367062704903739,0.9367062704903739
image_105_crop.tif,0.8113952291058864,2,5,0,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334,5,7,0.9428972244262696,0.9428972244262696,0.7857476870218912
image_91_crop.tif,0.6645212913999443,6,13,2,0.6842105263157895,0.8666666666666667,0.6190476190476191,0.7647058823529411,15,19,0.7974348068237305,0.920117084796612,0.7036189471974093
image_92_crop.tif,0.587052929823841,4,17,7,0.8095238095238095,0.7083333333333334,0.6071428571428571,0.7555555555555555,24,21,0.6390458345413208,0.9021823546465706,0.6816488901774088
image_93_crop.tif,0.6408485017227578,7,22,5,0.7586206896551724,0.8148148148148148,0.6470588235294118,0.7857142857142857,27,29,0.7622185459843388,0.9354500337080522,0.7349964550563267
image_94_crop.tif,0.6872074517880546,6,21,5,0.7777777777777778,0.8076923076923077,0.65625,0.7924528301886793,26,27,0.7249885705801157,0.8976048969087147,0.7113095409465287
image_95_crop.tif,0.48057943330149633,29,31,6,0.5166666666666667,0.8378378378378378,0.4696969696969697,0.6391752577319587,37,60,0.7531272785083668,0.8988938485422442,0.5745507073156613
image_96_crop.tif,0.5407303370786517,25,39,10,0.609375,0.7959183673469388,0.527027027027027,0.6902654867256637,49,64,0.7078241620744977,0.8893175369653946,0.6138652025070865
image_97_crop.tif,0.6754473273463478,8,34,10,0.8095238095238095,0.7727272727272727,0.6538461538461539,0.7906976744186046,44,42,0.7024851278825239,0.9090984007891487,0.7188219913216525
image_98_crop.tif,0.8615404124463043,3,34,3,0.918918918918919,0.918918918918919,0.85,0.918918918918919,37,37,0.8296333519188134,0.9028362947351792,0.8296333519188134
image_99_crop.tif,0.6052720513687057,18,46,13,0.71875,0.7796610169491526,0.5974025974025974,0.7479674796747967,59,64,0.6952443526963056,0.8917264523713485,0.6669823871395453
